Sample	Crosslink	Library	Replicate	TotalReadPair	MappedReadPair	UniqueMappedReadPair	DeduppedReadPair
F3B_S17	Formaldehyde	IP	F3	25132324	22343977	21010064	19931615
F3I_S7	Formaldehyde	Input	F3	21529989	19102949	17326863	16893796
F4B_S18	Formaldehyde	IP	F4	31050365	27882015	26223149	22951905
F4I_S8	Formaldehyde	Input	F4	35333049	31823523	25820322	16357195
F5B_S19	Formaldehyde	IP	F5	40054721	34037941	31816581	23809542
F5I_S9	Formaldehyde	Input	F5	19848649	17391267	15565938	15149879
F6B_S20	Formaldehyde	IP	F6	26614793	23758250	22257331	20277625
F6I_S10	Formaldehyde	Input	F6	19210931	16947049	15328614	14944066
UV3B_S12	UV	IP	UV3	21611148	18089049	17164357	15560002
UV3I_S2	UV	Input	UV3	18011522	15287190	14122100	13798936
UV4B_S13	UV	IP	UV4	22231097	18289123	17345961	16159321
UV4I_S3	UV	Input	UV4	18237302	15312203	14199131	13869586
UV5B_S14	UV	IP	UV5	26220278	21900662	20787312	18139007
UV5I_S4	UV	Input	UV5	19174564	16209749	15004386	14655856
UV6B_S15	UV	IP	UV6	26410719	22081988	20912635	19059622
UV6I_S5	UV	Input	UV6	19923929	16954756	15684483	15326959
